,,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,,FM_1,FM_2,FM_3,FM_4,FM_5,FM_6,FM_7,FM_8,FM_9,FM_10,FM_11,FM_12,FM_13,FM_14,FM_15,FM_16,FM_17,FM_18,FM_19,FM_20,FM_21,FM_22,FM_23,FM_24,FM_25,FM_26,FM_27,FM_28,FM_29,FM_30,FM_31,FM_32,FM_33,FM_34,FM_35,FM_36,FM_37,FM_38,FM_39,FM_40,FM_41,FM_42,FM_43,FM_44,FM_45,FM_46,FM_47,FM_48,FM_49,FM_50,FM_51,FM_52,FM_53,FM_54,FM_55,FM_56,FM_57,FM_58,FM_59,FM_60,FM_61,FM_62,FM_63,FM_64,FM_65,FM_66,FM_67,FM_68,FM_69,FM_70,FM_71,FM_72,FM_73,FM_74,FM_75,FM_76,FM_77,FM_78,FM_79
11,check_equal,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/check_equal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.2,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
12,sumOfLogarithms,1,1,1,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/sumOfLogarithms,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,weighted_average,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/weighted_average,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
14,elementwise_equal,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/elementwise_equal,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
15,calculateDifferences,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/calculateDifferences,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
16,max,1,1,1,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,meanDifference,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/meanDifference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
18,manhattan_dist,0,1,0,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/manhattan_dist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,mean_absolute_error,0,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/mean_absolute_error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
20,scale,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,find_median,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/find_median,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,reverse,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/reverse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,clip,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/clip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,elementwise_max,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/elementwise_max,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
25,varianceDifference,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/varianceDifference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,count_k,0,0,1,1,1,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/count_k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,weightedRMS,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/weightedRMS,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
28,autoCorrelation,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/autoCorrelation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,product,1,1,1,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,calculateAbsoluteDifferences,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/calculateAbsoluteDifferences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,pooledVariance,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/pooledVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,checkPositive,0,1,1,1,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/checkPositive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,evaluateNewton,0,0,0,1,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/evaluateNewton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,checkNonNegative,0,1,1,1,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/checkNonNegative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,computeCanberraDistance,0,0,0,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/computeCanberraDistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,elementwise_min,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/elementwise_min,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
37,computeDividedDifference1,1,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/computeDividedDifference1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,selection_sort,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/selection_sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,manhattanDistance,0,1,0,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/manhattanDistance,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,meanDeviation,1,0,1,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/meanDeviation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ebeDivide,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/ebeDivide,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
42,quantile,1,1,0,0,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/quantile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ebeAdd,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/ebeAdd,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
44,hamming_dist,0,0,0,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/hamming_dist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
45,add_two_array_values,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/add_two_array_values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,cnt_zeroes,0,0,1,1,1,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/cnt_zeroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.857142857142858,0,0,0,0,0,0,0,0,0,0,0
47,harmonicMean,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/harmonicMean,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,find_min,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/find_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,1,0,0,0,0,0,0,0,0.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,partition,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/partition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,skew,1,1,1,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/skew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,distance1,0,1,0,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/distance1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,weightedMean,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/weightedMean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,add_values,1,1,1,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/add_values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
54,ebeSubtract,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/ebeSubtract,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.125,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
55,check_equal_tolerance,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/check_equal_tolerance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
